,Date,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares,Open,High,Low,Close,Volume,OpenInt
0,1/7/2013,0.101265823,0.088607595,0.113924051,0.050632911,0.455696203,0.113924051,0.480689988,0.176540623,0.052166812,0.015850109,0.760413651,0.239586349,0.37562152,0.095475643,0.814767932,-0.233600325,-0.461919831,-0.095057263,0.311666393,0.025180832,0.329081046,0.176808318,2004.556962,367.72,369.69,365.29,367.38,3311534,0
1,1/8/2013,0.083333333,0.166666667,0.083333333,0,0.416666667,0.166666667,0.455640827,0.161938494,0.048414424,0.015217689,0.756223604,0.243776396,0.375213146,0.120896465,0.791666667,-0.242193372,-0.504166667,-0.090625,0.238888889,0.086111111,0.338888889,0.102777778,1493.583333,367.77,368.15,362.22,366.65,3352074,0
2,1/9/2013,0.134831461,0.191011236,0.112359551,0.033707865,0.235955056,0.123595506,0.467116403,0.145614671,0.046496519,0.01502087,0.741504719,0.258495281,0.371050074,0.110149813,0.781581059,-0.276590916,-0.521540039,-0.117910647,0.250849283,0.051133425,0.385070711,0.159139043,2536.303371,366.5,369.18,364.3,369.06,4051302,0
3,1/10/2013,0.125,0.1875,0.2,0.0125,0.2375,0.0625,0.46225983,0.156578153,0.047305086,0.017238825,0.73011763,0.26988237,0.367447089,0.099114583,0.765075758,-0.244382521,-0.501388889,-0.091443452,0.199862689,0.040591856,0.389720644,0.096425189,2085.2,371.42,372.5,366.75,370.74,3671560,0
4,1/11/2013,0.098039216,0.137254902,0.078431373,0.058823529,0.333333333,0.156862745,0.480836027,0.166839124,0.043515503,0.016712498,0.726260091,0.273739909,0.40796708,0.10256833,0.830392157,-0.24479125,-0.497358388,-0.101171024,0.354146507,0.053679654,0.329093456,0.18668619,3621.843137,371,371.22,368.15,370,2570250,0
5,1/14/2013,0.102564103,0.179487179,0.205128205,0.076923077,0.166666667,0.153846154,0.440956442,0.13205425,0.043407384,0.016328201,0.71295364,0.28704636,0.361842124,0.089725136,0.812820513,-0.259048025,-0.507664326,-0.10617721,0.29040589,0.096992822,0.303151478,0.158226033,2160.782051,368.52,371.1,361.18,361.62,5727612,0
6,1/15/2013,0.116883117,0.12987013,0.155844156,0.103896104,0.155844156,0.207792208,0.454447939,0.121570231,0.04441818,0.018472471,0.7099924,0.2900076,0.359160739,0.085743802,0.765584416,-0.257667454,-0.518851783,-0.102704835,0.264720957,0.06337236,0.358983621,0.146715532,2209.896104,359.66,367.5,356.05,362.46,7855980,0
7,1/16/2013,0.125,0.111111111,0.125,0.083333333,0.222222222,0.222222222,0.450662567,0.115892038,0.042615424,0.017145107,0.710909778,0.289090222,0.353864603,0.097499399,0.717013889,-0.260168803,-0.486218585,-0.106167328,0.218637767,0.05422103,0.372565937,0.125980289,2862.097222,361.2,362.17,356.84,357.6,4049078,0
8,1/17/2013,0.102941176,0.117647059,0.220588235,0.073529412,0.161764706,0.147058824,0.450808777,0.125982816,0.042749599,0.017956247,0.691863342,0.308136658,0.363795642,0.099029635,0.775245098,-0.25161987,-0.515406162,-0.101861578,0.206313662,0.031681309,0.382411828,0.098184577,2482.573529,358.86,359.82,355.51,355.66,4424388,0
9,1/18/2013,0.071428571,0.178571429,0.125,0.089285714,0.160714286,0.196428571,0.463023869,0.136178934,0.04141111,0.017548062,0.707177539,0.292822461,0.370383477,0.113893398,0.772916667,-0.250001756,-0.47897534,-0.105385488,0.290808596,0.134653293,0.342269635,0.167689007,2291.178571,355.18,356.38,350.66,352.26,6453796,0
10,1/22/2013,0.078947368,0.184210526,0.184210526,0.078947368,0.171052632,0.157894737,0.454255525,0.126051317,0.043298173,0.016668215,0.731874612,0.268125388,0.353537635,0.105882604,0.720833333,-0.250118325,-0.456970551,-0.130472013,0.30523266,0.098153112,0.307405707,0.165426765,2115.736842,352.33,352.67,347.76,351.44,7568526,0
11,1/23/2013,0.090909091,0.170454545,0.181818182,0.056818182,0.238636364,0.147727273,0.433604909,0.129702436,0.043040883,0.015537692,0.711655697,0.26561703,0.354866863,0.10293991,0.750568182,-0.253479178,-0.484090909,-0.125002255,0.274169946,0.070296471,0.297465401,0.131622229,2332.306818,368,374.5,367.9,370.75,11820790,0
12,1/24/2013,0.052631579,0.144736842,0.197368421,0.105263158,0.210526316,0.144736842,0.447623496,0.126803018,0.042700955,0.016136214,0.709764069,0.290235931,0.348683699,0.095233823,0.752872807,-0.258334996,-0.494974415,-0.116394351,0.247813426,0.120384057,0.357293091,0.152365051,2411.052632,370.62,378.42,370.26,376.92,6766592,0
13,1/25/2013,0.080645161,0.112903226,0.193548387,0.129032258,0.177419355,0.14516129,0.44407754,0.126927604,0.042921832,0.017221988,0.703975141,0.279895826,0.359793432,0.095432551,0.770295699,-0.251922626,-0.496729391,-0.100809652,0.293218475,0.103845919,0.388501955,0.16090237,2308.758065,375.38,379.24,375.12,376.84,4451622,0
14,1/28/2013,0.058823529,0.176470588,0.152941176,0.129411765,0.164705882,0.141176471,0.444989399,0.12952553,0.041620943,0.017177982,0.716626825,0.283373175,0.370206029,0.100747899,0.777745098,-0.26885423,-0.482682073,-0.139011887,0.269023173,0.091832442,0.345172906,0.183531788,2465.658824,375.88,377.8,373.94,375.36,3254266,0
15,1/29/2013,0.050632911,0.113924051,0.17721519,0.101265823,0.227848101,0.139240506,0.451950091,0.137326483,0.043436926,0.015603525,0.722923713,0.264418059,0.347174913,0.098766782,0.752320675,-0.241186747,-0.425906864,-0.122422374,0.301779687,0.128592526,0.324116984,0.175739401,2374.797468,373.38,378.48,373.27,376.84,3494696,0
16,1/30/2013,0.120481928,0.156626506,0.240963855,0.048192771,0.192771084,0.144578313,0.439622098,0.13614027,0.043247564,0.01440806,0.735151795,0.240751819,0.339296606,0.086009493,0.726405622,-0.224677129,-0.434913463,-0.100671735,0.255085711,0.064173795,0.375926216,0.149730307,2683.626506,376.87,380.48,376.46,376.92,3465944,0
17,1/31/2013,0.02739726,0.164383562,0.205479452,0.068493151,0.246575342,0.109589041,0.458518006,0.125922301,0.041897918,0.017689122,0.690905173,0.295396196,0.36409893,0.102302823,0.779950187,-0.271722775,-0.481354642,-0.1326783,0.329362114,0.086137055,0.342022969,0.193557147,2000.082192,375.26,378.81,375.12,377.84,3268654,0
18,2/1/2013,0.118644068,0.13559322,0.254237288,0.084745763,0.101694915,0.203389831,0.460736883,0.148995221,0.047107398,0.01595832,0.744364373,0.238686474,0.361562692,0.092073703,0.769491525,-0.245012004,-0.451153484,-0.103887544,0.362347445,0.203365373,0.31545479,0.207885147,3185.423729,379.1,388.3,379.05,387.8,7492130,0
19,2/4/2013,0.117647059,0.161764706,0.205882353,0.073529412,0.161764706,0.147058824,0.452564554,0.13242412,0.048344889,0.020952394,0.704906215,0.280387902,0.369782745,0.096949643,0.78872549,-0.247531048,-0.50327381,-0.098824113,0.355832378,0.115841689,0.253840824,0.179710153,2340.235294,383.84,385.24,379.14,379.51,6082284,0
20,2/5/2013,0.074074074,0.135802469,0.185185185,0.086419753,0.148148148,0.148148148,0.431713654,0.140612245,0.043712265,0.017025085,0.68675941,0.276203553,0.36005073,0.101849848,0.746193416,-0.252193463,-0.462556339,-0.132620517,0.318423877,0.136795379,0.307925596,0.185996829,2000.691358,380.56,385.56,379.74,382.87,3741432,0
21,2/6/2013,0.072463768,0.144927536,0.202898551,0.101449275,0.173913043,0.115942029,0.455145627,0.146853509,0.044935086,0.015987113,0.733423905,0.266576095,0.364820573,0.108170839,0.75326087,-0.239075486,-0.440827007,-0.116798942,0.253953667,0.047105841,0.363099473,0.127902942,2639.304348,379.54,386.48,379.25,385.08,4157774,0
22,2/7/2013,0.055555556,0.25,0.180555556,0.083333333,0.125,0.125,0.454046329,0.139999871,0.046887379,0.017987583,0.72117734,0.264933771,0.379102836,0.101132155,0.8,-0.260049722,-0.496199846,-0.118198854,0.281921647,0.053042579,0.354073723,0.128926417,3396.666667,384.85,389.4,382.75,386.98,5680212,0
23,2/8/2013,0.186440678,0.084745763,0.152542373,0.050847458,0.13559322,0.186440678,0.457959455,0.136079369,0.041979058,0.01800114,0.705072723,0.277978124,0.369431183,0.109140986,0.755084746,-0.249109484,-0.493502825,-0.107391714,0.186640986,0.07664227,0.384622496,0.10738187,2396.779661,390.06,393.34,389.78,392.68,6044730,0
24,2/11/2013,0.01369863,0.205479452,0.191780822,0.082191781,0.178082192,0.178082192,0.420587637,0.125681807,0.042210183,0.015196801,0.737365941,0.248935429,0.334734962,0.083387298,0.726027397,-0.236037449,-0.456816699,-0.110843913,0.274164245,0.07428774,0.319687976,0.156019441,2842.534247,389.2,391.5,386.88,391.21,4335112,0
25,2/12/2013,0.048780488,0.146341463,0.219512195,0.06097561,0.134146341,0.170731707,0.459295129,0.127080011,0.04056954,0.016825995,0.701766237,0.286038641,0.361363691,0.09956578,0.73960511,-0.273314526,-0.507588076,-0.125715477,0.28091217,0.114755966,0.357458998,0.171029062,2977.146341,390.58,393.95,389.68,390.35,3717890,0
