Date,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares,Open,High,Low,Close,Volume,OpenInt
2013-01-07,0.10126582278481013,0.08860759493670886,0.11392405063291139,0.05063291139240506,0.45569620253164556,0.11392405063291139,0.48068998755956965,0.1765406230792533,0.052166811661736714,0.015850109262063424,0.7604136506418482,0.23958634935815196,0.3756215199904304,0.09547564250098979,0.8147679324894433,-0.2336003251206583,-0.46191983122363284,-0.0950572634116902,0.3116663926790214,0.025180831826434175,0.32908104553674683,0.17680831826405446,2004.5569620253164,367.72,369.69,365.29,367.38,3311534.0,0.0
2013-01-08,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.4166666666666667,0.16666666666666666,0.4556408271594999,0.16193849372789165,0.04841442414030833,0.015217689050251665,0.7562236036775833,0.24377639632241666,0.3752131464990833,0.12089646464658332,0.7916666666666666,-0.24219337214058334,-0.5041666666666667,-0.09062500000000001,0.23888888888891668,0.08611111111108333,0.3388888888889166,0.10277777777775,1493.5833333333333,367.77,368.15,362.22,366.65,3352074.0,0.0
2013-01-09,0.1348314606741573,0.19101123595505617,0.11235955056179775,0.033707865168539325,0.23595505617977527,0.12359550561797752,0.4671164028397641,0.14561467113085255,0.046496518913019334,0.01502086953975034,0.7415047193803933,0.2584952806196044,0.3710500737915169,0.1101498127341213,0.7815810593900451,-0.2765909160948989,-0.5215400392366852,-0.11791064740506627,0.2508492833633045,0.0511334249396281,0.38507071112407526,0.15913904291715622,2536.303370786517,366.5,369.18,364.3,369.06,4051302.0,0.0
2013-01-10,0.125,0.1875,0.2,0.0125,0.2375,0.0625,0.46225983049338737,0.1565781527657471,0.04730508567738577,0.017238825051883875,0.7301176303552377,0.26988236964475887,0.36744708882617505,0.09911458333337869,0.7650757575757626,-0.24438252079667122,-0.5013888888889126,-0.09144345238099032,0.19986268939391252,0.04059185606063376,0.38972064393938755,0.09642518939396624,2085.2,371.42,372.5,366.75,370.74,3671560.0,0.0
2013-01-11,0.09803921568627451,0.13725490196078433,0.0784313725490196,0.058823529411764705,0.3333333333333333,0.1568627450980392,0.48083602725584307,0.16683912354120822,0.043515502911258816,0.01671249828397941,0.726260090623294,0.273739909376704,0.40796707991380377,0.10256833036248036,0.8303921568627451,-0.24479124966952934,-0.49735838779958824,-0.10117102396515483,0.35414650708766665,0.053679653679680396,0.3290934555640686,0.18668618962741765,3621.843137254902,371.0,371.22,368.15,370.0,2570250.0,0.0
2013-01-12,0.05,0.0,0.1,0.05,0.5,0.15,0.48346071514470007,0.17966748295665,0.053008365610015,0.017146218996426498,0.7374725566427001,0.26252744335729994,0.40887375369969997,0.12206439393946003,0.885,-0.28746916752845003,-0.5756249999999999,-0.09694444444449501,0.40130952380955004,0.20779761904764998,0.26630952380955,0.31029761904765,4410.0,,,,,,
2013-01-13,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.125,0.4886906254859584,0.20119429334744166,0.050957613333220825,0.014850274200116668,0.759604606243125,0.24039539375687916,0.4183344878494166,0.09925820707072087,0.8576388888888751,-0.25246848348408335,-0.501736111111125,-0.12045304232810834,0.37239583333333326,0.21756628787879165,0.3307291666666667,0.22589962121212495,5055.958333333333,,,,,,
2013-01-14,0.10256410256410256,0.1794871794871795,0.20512820512820512,0.07692307692307693,0.16666666666666666,0.15384615384615385,0.4409564420211793,0.13205424990181255,0.043407384229911423,0.016328201259840507,0.7129536395158076,0.2870463604841936,0.3618421236239999,0.08972513597513587,0.8128205128205127,-0.2590480245225974,-0.5076643264143281,-0.10617720954262176,0.2904058904058897,0.0969928219928423,0.3031514781514681,0.15822603322606282,2160.7820512820513,368.52,371.1,361.18,361.62,5727612.0,0.0
2013-01-15,0.11688311688311688,0.12987012987012986,0.15584415584415584,0.1038961038961039,0.15584415584415584,0.2077922077922078,0.454447938966974,0.12157023145594993,0.04441817953797662,0.018472470973297538,0.7099923997824805,0.2900076002175273,0.3591607390142337,0.08574380165292725,0.7655844155844158,-0.2576674536482897,-0.5188517831375327,-0.1027048348477094,0.26472095725342076,0.06337235996328572,0.3589836209966116,0.14671553194282078,2209.896103896104,359.66,367.5,356.05,362.46,7855980.0,0.0
2013-01-16,0.125,0.1111111111111111,0.125,0.08333333333333333,0.2222222222222222,0.2222222222222222,0.4506625673996806,0.11589203818858722,0.04261542438635555,0.01714510657119694,0.71090977788275,0.28909022211724994,0.35386460345674986,0.09749939874942082,0.7170138888888888,-0.26016880319544433,-0.4862185846560974,-0.1061673280423448,0.21863776655442227,0.05422102974187361,0.37256593714925834,0.12598028900113192,2862.097222222222,361.2,362.17,356.84,357.6,4049078.0,0.0
